guid,lite_or_pro,level,left_more_than_1_day,inactive_hours_till_window_end,user_projects_count,session,project_file,project_number,project_time,last_edit_time,last_error_time,last_error_category,last_error_message,theme,domains,operations,no_changes_after_error
e23e7640-d1ce-4fff-8d23-234d7fdb7f1a,pro,новичок,yes,275.1,1,Session 1. 2026-02-17 12-56,Project 1.zip,1,2026-02-17 12:56:14.935439,2026-02-17 12:53:38.363051,2026-02-17 12:54:34.736491,Server unavailable,"Выполнение действия Запустить инстанс ZennoBrowser id: c05caa3c-dd3f-4a32-ad5c-74fa3da199c6 группы действий id: b3160408-ee94-4d88-9e83-9e503a1960ec Ошибка запуска профиля ZennoBrowser (): Status(StatusCode=""Unauthenticated"", Detail=""Bad gRPC response. HTTP status code: 401"") | ZennoLab.ZennoPoster.Core.Tasks.Threads.StartBaseFatalException: Ошибка запуска профиля ZennoBrowser (): Status(StatusCode=""Unauthenticated"", Detail=""Bad gRPC response. HTTP status code: 401"") ---> Grpc.Core.RpcException:",Регистрация/аккаунты,,"Навигация по сайтам, Логика/ретраи",yes
bb633d5e-676f-4191-8af0-fd07496c0e15,pro,новичок,yes,274.8,1,Session 1. 2026-02-17 13-12,Project 1.zip,1,2026-02-17 13:12:34.898326,2026-02-17 13:07:00.585475,2026-02-17 13:07:24.975281,"Выполнение действия Получить список профилей ZennoBrowser id: <id> группы действий id: <id> Status(StatusCode=""Unauthenticated"", Detail=""Bad","Выполнение действия Получить список профилей ZennoBrowser id: 035f7eec-167d-46e4-ab28-ed259e105578 группы действий id: 75a28123-fb5d-451a-a3c9-ff6c955b71f4 Status(StatusCode=""Unauthenticated"", Detail=""Bad gRPC response. HTTP status code: 401"") | Grpc.Core.RpcException: Status(StatusCode=""Unauthenticated"", Detail=""Bad gRPC response. HTTP status code: 401"")
   в System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()
   в ZennoLab.ProductsIntegration.PublicApi.Client.PublicApiClientBase.<",Регистрация/аккаунты,"gw-eu.zengw.io, gw.zengw.io, pixelscan.net","Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация, Логика/ретраи",yes
a4405a84-395e-4d75-8788-f0bc84017250,pro,средний,yes,266.2,1,Session 1. 2026-02-17 21-31,Project 3.zip,3,2026-02-17 21:49:18.631796,,2026-02-17 21:48:17.548703,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска","Выполнение действия HtmlElement id: 3351a67c-628a-441f-8f45-2945404aac74 группы действий id: f7741604-66cd-4936-9650-2a700d94cbfd Не найден HTML элемент, по условиям поиска",Служебная автоматизация,,"Прочие действия, Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация, Прокси/профили/эмуляция, Логика/ретраи",yes
544ef3b5-b4a1-40dd-bc80-515cba7711c7,lite,средний,yes,256.7,2,Session 3. 2026-02-18 07-16,Project 2.zip,2,2026-02-18 07:16:31.155186,2026-02-18 04:33:19.466227,2026-02-18 07:16:30.925435,Выполнение действия WebBrowserSettings id: <id> группы действий id: <id> Ошибка обращения к Instance.ClearCache | System.Exception: Ошибка о,"Выполнение действия WebBrowserSettings id: 03cdce3d-bd71-43e5-919f-ca210a6008be группы действий id: ab6113a0-7041-4183-bd43-e0578cd10f04 Ошибка обращения к Instance.ClearCache | System.Exception: Ошибка обращения к Instance.ClearCache
   в ZennoLab.ZennoPoster.Core.Modules.TemplateExecutor.ThrowingCommandCenter.ThrowingInstance.CheckErrorDetected(String param)
   в ZennoLab.ZennoPoster.Core.Modules.TemplateExecutor.ThrowingCommandCenter.ThrowingInstance.ClearCache(String domainFilter)
   в Ze",Регистрация/аккаунты,"google.com, yandex.ru","Навигация по сайтам, Формы/клики/DOM, Таблицы/Google Sheets, Парсинг/валидация, Прокси/профили/эмуляция, Логика/ретраи",yes
52796f9e-cc43-4ece-93e4-c6241340b9ed,pro,средний,yes,256.4,1,Session 1. 2026-02-18 07-17,Project 2.zip,2,2026-02-18 07:33:56.405273,2026-02-18 07:30:20.672656,2026-02-18 07:32:09.764643,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска","Выполнение действия HtmlElement id: 3618f1ba-0e71-4364-a5b9-5f445aeb8972 группы действий id: 80b36216-61a6-4fc9-8943-7622b70f5d01 Не найден HTML элемент, по условиям поиска",Регистрация/аккаунты,"cloudflare-dns.com, flirta.net, google.com, namevids.com","Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация, Прокси/профили/эмуляция, Логика/ретраи",yes
f911905c-859f-4c7e-83ac-f6a117ca0c7e,pro,новичок,yes,243.1,1,Session 2. 2026-02-18 20-53,Project 3.zip,3,2026-02-18 20:53:54.528538,2026-02-18 20:47:56.901227,2026-02-18 20:48:16.181235,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> Недостаточно памяти. | System.OutOfMemoryException: Недостаточно памят,"Выполнение действия CSharp OwnCode. id: f22e951e-1070-46f7-a078-3b8dace93030 группы действий id: b12d267d-3901-438d-9c21-4e75febd8caa Недостаточно памяти. | System.OutOfMemoryException: Недостаточно памяти.
   в System.Drawing.Image.FromFile(String filename, Boolean useEmbeddedColorManagement)
   в ZennoLab.OwnCode.Cf22e951e107046f7a0783b8dace93030.Mf22e951e107046f7a0783b8dace93030(IZennoPosterProjectModel project, Instance instance) в C:\Users\Elina\AppData\Local\Temp\CompilerFolder\ProjectMa",Регистрация/аккаунты,,"Формы/клики/DOM, Парсинг/валидация, Логика/ретраи",yes
dfb68a0b-5525-44a2-a359-f67221de9c03,lite,новичок,yes,233.9,1,Session 1. 2026-02-19 06-08,Project 1.zip,1,2026-02-19 06:08:00,2026-02-19 05:31:33.389824,2026-02-19 06:05:08.580997,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска","Выполнение действия HtmlElement id: 4a92e472-b58e-4478-b545-04d3357ea170 группы действий id: 38b64b55-90ef-4127-9f57-cd8d47c0d6d3 Не найден HTML элемент, по условиям поиска",Регистрация/аккаунты,glavcom.ua,"Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция, Логика/ретраи",yes
abe0574b-bd3f-47a2-91b7-80809f4e0459,pro,средний,yes,230.2,1,Session 1. 2026-02-19 09-50,Project 1.zip,1,2026-02-19 09:50:37.796177,2026-02-19 09:50:05.422571,2026-02-19 09:50:24.383653,Выполнение действия Создать профили ZennoBrowser id: <id> группы действий id: <id> ZennoBrowser не установлен | System.Exception: ZennoBrows,"Выполнение действия Создать профили ZennoBrowser id: 9a549a7f-7e1f-4026-b022-baee5aef24ef группы действий id: a5ece48f-738b-4633-8a57-4a40da6c7d84 ZennoBrowser не установлен | System.Exception: ZennoBrowser не установлен
   в ZennoLab.ZennoPoster.Core.Modules.TemplateExecutor.ProjectExecutors.ProjectExecutor.<>c__DisplayClass407_0.M4OefouSYiCJHMqc9bB2.MoveNext()
   в ZennoLab.ZennoPoster.Core.Modules.TemplateExecutor.ProjectExecutors.ProjectExecutor.<>c__DisplayClass407_0.M4OefouSYiCJHMqc9bB2.",Регистрация/аккаунты,,Прочие действия,yes
4f281ecb-819b-4f17-bcab-b6619caaff41,pro,средний,yes,228.0,1,Session 1. 2026-02-19 11-57,Project 1.zip,1,2026-02-19 11:57:34.291417,2026-02-19 11:52:58.035748,2026-02-19 11:56:15.145597,Access denied,"Выполнение действия Создать профили ZennoBrowser id: f1e91e96-8395-4ce5-a3b5-ec2ec42ffc0e группы действий id: fd1d3ccd-c286-4b1a-9f7d-2c1a192c563b {""ExceptionJson"":[""{\u0022$type\u0022:\u0022ZennoLab.Platform.Abstracts.Exceptions.ExceptionCarrier\u0022,\u0022Message\u0022:\u0022Status(StatusCode=\\u0022PermissionDenied\\u0022, Detail=\\u0022RBAC: access denied\\u0022)\u0022}""],""InnerException"":null} | System.Exception: {""ExceptionJson"":[""{\u0022$type\u0022:\u0022ZennoLab.Platform.Abstracts.Excep",Регистрация/аккаунты,"mtsdengi.ru, online.mtsdengi.ru, sms.myneogroup.space","Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы, Парсинг/валидация, Прокси/профили/эмуляция, Логика/ретраи",yes
f1a6468b-ad9d-4ecc-9372-52ed964bc7e7,pro,новичок,yes,227.4,1,Session 1. 2026-02-19 11-58,Project 5.zip,5,2026-02-19 12:35:05.565005,2026-02-19 12:32:54.863592,2026-02-19 12:33:16.979801,Выполнение программы C:\mobirise-automation\mobirise.bat действия id: <id> группы действий id: <id> Результат: <n>,Выполнение программы C:\mobirise-automation\mobirise.bat действия id: e983bbb1-2284-4a23-b5dc-050ba48d521f группы действий id: cc44f1df-d439-47bc-8c1b-1aea962fc390 Результат: 9009,Регистрация/аккаунты,mobirise.side-job.uno,"Навигация по сайтам, Формы/клики/DOM, Логика/ретраи",yes
